--- SEQUENTIAL VERSIONS ---
--- MIDPOINT ---
0.00001 8.16300 17.65312
0.00001 15.01845 33.31839
0.00001 1.10787 1.53158
0.00003 0.51885 0.18561
0.00031 0.44588 0.01886
0.00279 0.43845 0.00189
0.02685 0.43770 0.00019
0.26136 0.43763 0.00002
2.71936 0.43762 0.00000
--- MIDPOINT ---
--- TRAPEZOID ---
0.00001 -80.47443 184.89072
0.00000 -0.64727 2.47906
0.00001 0.40053 0.08476
0.00007 0.43726 0.00083
0.00059 0.43762 0.00001
0.00585 0.43762 0.00000
0.05561 0.43762 0.00000
0.52589 0.43762 0.00000
5.36144 0.43762 0.00000
--- TRAPEZOID ---
--- SIMPSON ---
0.00000 -225.24988 515.71459
0.00000 1.40859 2.21875
0.00001 1.22569 1.80080
0.00005 0.31617 0.27752
0.00056 0.42398 0.03116
0.00532 0.43624 0.00315
0.05096 0.43748 0.00031
0.50292 0.43761 0.00003
6.11680 0.43762 0.00000
--- SIMPSON ---
--- MONTECARLO ---
0.00004 323.67005 738.61284
0.00004 98.49729 224.07444
0.00007 -6.85808 16.67128
0.00016 7.69853 16.59177
0.00145 3.50889 7.01809
0.01301 -0.59022 2.34870
job.sh: line 34: 20064 Segmentation fault      ./wr5/montecarlo_seq $N 1
job.sh: line 34: 20068 Segmentation fault      ./wr5/montecarlo_seq $N 1
job.sh: line 34: 20072 Segmentation fault      ./wr5/montecarlo_seq $N 1
