running with  1  cores
n: 1048576, seconds: 0.08545
n: 2097152, seconds: 0.17772
n: 4194304, seconds: 0.36906
n: 8388608, seconds: 0.76184
n: 16777216, seconds: 1.58609
n: 33554432, seconds: 3.30525
n: 67108864, seconds: 6.85002
n: 134217728, seconds: 14.18120
n: 268435456, seconds: 29.39432
running with  2  cores
n: 1048576, seconds: 0.05880
n: 2097152, seconds: 0.11976
n: 4194304, seconds: 0.24337
n: 8388608, seconds: 0.50520
n: 16777216, seconds: 1.04297
n: 33554432, seconds: 2.15751
n: 67108864, seconds: 4.46269
n: 134217728, seconds: 9.31799
n: 268435456, seconds: 19.04797
running with  4  cores
n: 1048576, seconds: 0.04796
n: 2097152, seconds: 0.09778
n: 4194304, seconds: 0.19748
n: 8388608, seconds: 0.39848
n: 16777216, seconds: 0.80380
n: 33554432, seconds: 1.62471
n: 67108864, seconds: 3.32224
n: 134217728, seconds: 6.78775
n: 268435456, seconds: 13.88712
running with  8  cores
n: 1048576, seconds: 0.04348
n: 2097152, seconds: 0.08554
n: 4194304, seconds: 0.18231
n: 8388608, seconds: 0.36905
n: 16777216, seconds: 0.73560
n: 33554432, seconds: 1.48100
n: 67108864, seconds: 3.00991
n: 134217728, seconds: 6.09271
n: 268435456, seconds: 12.31202
running with  16  cores
n: 1048576, seconds: 0.04545
n: 2097152, seconds: 0.09282
n: 4194304, seconds: 0.19560
n: 8388608, seconds: 0.45278
n: 16777216, seconds: 0.93078
n: 33554432, seconds: 1.88961
n: 67108864, seconds: 3.73019
n: 134217728, seconds: 7.53216
n: 268435456, seconds: 15.06474
running with  32  cores
n: 1048576, seconds: 0.13984
n: 2097152, seconds: 0.22601
n: 4194304, seconds: 0.40664
n: 8388608, seconds: 0.78495
n: 16777216, seconds: 1.58986
n: 33554432, seconds: 3.14065
n: 67108864, seconds: 6.25014
n: 134217728, seconds: 12.57608
n: 268435456, seconds: 25.69952
running with  64  cores
n: 1048576, seconds: 1.17557
n: 2097152, seconds: 0.30299
n: 4194304, seconds: 0.53899
n: 8388608, seconds: 1.00171
n: 16777216, seconds: 2.04229
n: 33554432, seconds: 3.98818
n: 67108864, seconds: 8.25812
n: 134217728, seconds: 17.10112
n: 268435456, seconds: 33.88608
running with  128  cores
n: 1048576, seconds: 1.19103
n: 2097152, seconds: 0.38987
n: 4194304, seconds: 0.62855
n: 8388608, seconds: 1.15844
n: 16777216, seconds: 2.26208
n: 33554432, seconds: 4.47004
n: 67108864, seconds: 8.92142
n: 134217728, seconds: 18.04657
n: 268435456, seconds: 35.78424
